"Date","Price","Open","High","Low","Vol.","Change %"
"07/31/2023","471.35","470.87","472.27","469.98","157.59M","0.12%"
"07/28/2023","470.78","470.96","471.60","469.54","181.98M","-0.20%"
"07/27/2023","471.74","465.68","472.69","465.68","217.78M","1.35%"
"07/26/2023","465.46","468.14","468.14","462.29","179.28M","-0.53%"
"07/25/2023","467.92","465.66","468.28","465.08","119.14M","0.48%"
"07/24/2023","465.68","465.00","466.24","463.71","128.30M","0.06%"
"07/21/2023","465.40","464.07","465.40","463.27","138.37M","0.32%"
"07/20/2023","463.93","461.81","464.17","460.93","156.47M","0.42%"
"07/19/2023","461.97","460.41","463.58","460.41","184.16M","0.26%"
"07/18/2023","460.76","457.86","461.15","457.54","126.72M","0.62%"
"07/17/2023","457.92","460.20","460.20","457.42","111.35M","-0.63%"
"07/14/2023","460.83","460.53","462.46","460.24","151.74M","-0.11%"
"07/13/2023","461.36","458.71","462.61","458.71","146.64M","0.61%"
"07/12/2023","458.54","451.92","458.92","451.92","205.57M","1.51%"
"07/11/2023","451.72","449.17","452.30","448.81","154.51M","0.72%"
"07/10/2023","448.47","447.30","449.64","446.05","109.74M","0.18%"
"07/07/2023","447.65","447.41","449.63","444.91","132.14M","0.10%"
"07/06/2023","447.22","457.63","457.63","446.41","183.72M","-2.34%"
"07/05/2023","457.94","460.82","460.82","457.27","160.39M","-0.73%"
"07/04/2023","461.30","461.07","462.30","461.06","140.09M","0.07%"
"07/03/2023","460.98","461.89","463.94","460.85","141.83M","-0.21%"
"06/30/2023","461.93","457.11","462.77","456.95","185.98M","1.16%"
"06/29/2023","456.64","456.15","457.56","455.60","147.30M","0.13%"
"06/28/2023","456.05","453.45","456.39","453.45","167.91M","0.70%"
"06/27/2023","452.90","452.91","454.78","450.51","155.08M","0.05%"
"06/26/2023","452.68","453.15","453.75","450.16","178.98M","-0.10%"
"06/23/2023","453.14","453.89","455.22","451.80","162.98M","-0.34%"
"06/22/2023","454.70","454.66","454.70","450.94","173.65M","-0.51%"
"06/21/2023","457.01","459.37","459.42","456.61","150.11M","-0.50%"
"06/20/2023","459.32","461.65","461.91","459.25","146.67M","-0.59%"
"06/19/2023","462.04","466.43","466.43","461.57","127.33M","-1.02%"
"06/16/2023","466.80","464.66","468.25","464.66","438.93M","0.53%"
"06/15/2023","464.33","464.43","464.46","461.12","185.66M","-0.13%"
"06/14/2023","464.94","463.52","466.35","463.11","197.71M","0.36%"
"06/13/2023","463.27","460.91","463.75","460.49","198.43M","0.55%"
"06/12/2023","460.73","460.29","462.87","460.29","153.41M","0.16%"
"06/09/2023","460.01","461.08","461.84","458.58","143.62M","-0.15%"
"06/08/2023","460.70","460.00","461.38","459.68","153.57M","-0.02%"
"06/07/2023","460.80","461.92","462.52","460.40","165.94M","-0.19%"
"06/06/2023","461.68","460.36","462.11","459.27","173.68M","0.38%"
"06/05/2023","459.93","461.80","463.21","459.56","160.64M","-0.48%"
"06/02/2023","462.15","455.38","462.36","455.38","194.31M","1.51%"
"06/01/2023","455.27","452.43","456.18","452.43","201.95M","0.78%"
"05/31/2023","451.76","456.17","456.20","451.25","553.88M","-1.07%"
