"Date","Price","Open","High","Low","Vol.","Change %"
"06/25/2020","7,270.30","7,176.40","7,295.80","7,077.80","267.87M","1.04%"
"06/24/2020","7,195.50","7,403.90","7,440.90","7,195.50","248.46M","-3.27%"
"06/23/2020","7,438.40","7,408.80","7,495.10","7,366.60","260.90M","1.26%"
"06/22/2020","7,345.70","7,371.60","7,426.90","7,300.70","220.42M","-0.92%"
"06/19/2020","7,414.20","7,444.20","7,502.10","7,401.00","634.64M","0.32%"
"06/18/2020","7,390.20","7,436.40","7,495.20","7,318.10","326.76M","-1.18%"
"06/17/2020","7,478.70","7,458.10","7,552.50","7,402.50","333.50M","-0.22%"
"06/16/2020","7,495.30","7,420.80","7,599.30","7,349.70","388.21M","3.25%"
"06/15/2020","7,259.30","7,116.90","7,309.40","7,062.90","329.04M","-0.46%"
"06/12/2020","7,292.70","7,232.20","7,425.30","7,205.00","370.13M","0.20%"
"06/11/2020","7,278.00","7,486.50","7,486.50","7,278.00","456.67M","-5.04%"
"06/10/2020","7,663.90","7,779.80","7,861.00","7,649.40","355.56M","-1.14%"
"06/09/2020","7,752.30","7,878.20","7,914.70","7,683.20","453.06M","-1.82%"
"06/08/2020","7,896.10","7,813.10","7,992.70","7,796.60","557.21M","0.30%"
"06/05/2020","7,872.60","7,672.00","7,890.40","7,664.10","573.28M","4.04%"
"06/04/2020","7,566.80","7,567.70","7,669.20","7,516.00","514.86M","-0.78%"
"06/03/2020","7,626.40","7,487.30","7,629.70","7,448.90","445.04M","2.95%"
"06/02/2020","7,408.10","7,264.00","7,445.30","7,236.90","402.95M","2.59%"
"06/01/2020","7,221.40","7,228.70","7,276.00","7,160.10","291.93M","1.76%"
"05/29/2020","7,096.50","7,164.30","7,201.80","7,096.50","903.98M","-1.77%"
"05/28/2020","7,224.10","7,237.30","7,244.50","7,141.40","375.47M","0.69%"
"05/27/2020","7,174.50","7,034.00","7,229.00","7,030.20","501.01M","2.44%"
"05/26/2020","7,003.90","6,940.60","7,023.80","6,917.10","383.73M","2.15%"
"05/25/2020","6,856.80","6,766.60","6,856.80","6,725.20","187.07M","2.38%"
"05/22/2020","6,697.50","6,618.20","6,751.80","6,585.70","292.69M","0.17%"
"05/21/2020","6,686.10","6,612.70","6,773.40","6,579.90","258.58M","0.04%"
"05/20/2020","6,683.60","6,593.40","6,697.10","6,499.10","341.45M","1.13%"
